,comments
512,"และรบกวนขอสอบถามคุณหมอ oncodog หรือคุณหมอท่านอื่นก็ได้ครับ

1.พอดีเคยอ่านกระทู้ ที่คุณหมอเคยตอบว่า การให้คีโม มะเร็งตับ นั้นตอบสนองเพียงแค่ 10 - 15 % คำว่า 10 - 15 % นี้หมายถึงอะไรครับ  เทียบกับอะไร

2. ผมควรจะคุยกับคุณหมอเรื่องการให้ยา nexavar อีกครั้งหรือปล่าวครับ เพราะวันที่ไปตรวจ คนไข้เยอะมาก บางที คุณหมออาจจะลืม เงื่อนไขของระยะเวลา 2 เดือน จากที่กล่าวไว้ ข้างต้นของคำถาม

3.ยังตัดสินใจไม่ได้ว่าจะให้คีโม ดีหรือปล่าว หรือจะรักษาตามอาการไป แต่ตอนนี้ ผลเลือดและสุขภาพพ่อยังดีอยู่ (แต่ค่า sgot เริ่มสูงขึ้นเรื่อยๆ 54 ,sgpt 20)

4.ก่อนหน้านั้นพ่อผมเคยเป็นมะเร็งต่อมน้ำเหลืองน่ะครับ และให้คีโม สูตร  rchop   ซึ่งก้อนที่ตับ ที่ขยายใหญ่ขึ้น ณ ตอนนี้ เคยเล็กลง จาก 2  เซน เหลือ 1 เซน (ตอนนั้นหมอ คาดว่าน่าจะเป็นมะเร็งต่อมน้ำเหลือง มารู้ว่าเป็นมะเร็งตับ เพราะก้อนมันโตขึ้นมาอีก หลังจากหยุดให้คีโม rchop จึงต้องเจาะชึ้นเนื้อที่ตับดู) ปัจจัย นี้จะมีส่วนช่วยให้ตัดสินใจว่าควรจะทำคีโมได้หรือไม่ครับ
แก้ไขข้อความเมื่อ 3 เมษายน 2558 เวลา 21:49 น."
513,"ขายยา soranib / sorafenib ( Nexavar )
จากอินเดีย 1 ขวดมี 30 เม็ด

ขวดละ 7000 บาท มี 3 ขวด

ติดต่อ 0882465965"
514,ขายยา nexavar 200 mg 60เม็ด ใหม่แกะกล่อง  ขาย55000 ต่อลองได้ หมดอายุเดือน8/2018 สนใจติดต่อ 0956932733
515,ขายยาnexavar200mg 60 เม็ด ราคา30000 ใหม่แกะกล่อง สนใจติดต่อ 0972057241 น้ำเพชร
516,"เรามีของ natco ที่ได้ license จากผู้ผลิต nexavar ของแม่เหลือ 1 ขวด 120 เม็ด ไม่ต้องจ่ายเท่าด้านบน
หลังไมค์มาค่ะ"
517,คุณพ่อก็เคยทานยา nexavar. ค่ะ รักษาที่โรงพยาบาลจุฬา ท่านเริ่มทานเพราะหมอเห็นจุดมะเร็งที่ตับ ทานไปได้ประมาณเกือบปี อาการข้างเคียง คือ มือเท้าแห้งมาก ลอกออกมาเป็นแผ่นๆเป็นแผลด้วยค่ะ หมอบอกต้องคอยทาโลชั่นบ่อยๆ ทานอาหารไม่ได้ น้ำหนักลดลงมากๆเลยค่ะ  ให้ทานครั้งละ 2 เม็ดเช้าเย็น แต่หมอบอกถ้าไม่ไหวให้ลดยาได้ เหลือครั้งละ 1 เม็ดแต่สุดท้ายก็มีจุดเพิ่ม คล้ายยาไม่ตอบสนอง ก็แล้วแต่บุคคลนะคะ เลยเปลี่ยนวิธีการรักษาด้วยการจี้เข็มความร้อน  ตอนนี้ยายังเหลืออยู่ 5 กล่อง หากสนใจสอบถามได้นะคะ อยากส่งต่อในราคาถูก เพราะยาแพงมาก ^^
518,"ขายยา Nexava ของ Germany แท้ มีใบเสร็จยืนยันจากโรงพยาบาล  

มี 2 กล่อง ขายกล่องละ 70,000 บาท ซื้อมาจากโรงพยาบาลกล่องละ 98,000บาท

สนใจต่อรองราคาได้คะ ยาหมดอายุปี 2019

ติดต่อ เอ๋ 092-2624994"
519,"คุณลุงที่บ้านทานยาตัวนี้ sorafenib เป็นยามาจากอินเดียโดยตรงค่ะ ตอนนี้เหลืออยู่""3กล่อง"" อยากจะขายในราคาที่ถูกลง จากราคาเดิมที่ซื้อมา เพราะท่านไม่ได้ทานแล้ว ขายกล่องละ4,700บาท ยาหมดอายุปี2020 (0811332954)โทรคุยได้นะค่ะ ไม่ซื้อไม่เป็นไร เข้าใจความรู้สึกไม่แตกต่างกัน
แก้ไขข้อความเมื่อ 26 เมษายน 2562 เวลา 23:18 น."
520,Sorafenib 200 mg ขวดละ 120 เม็ด ช่วยหาให้ได้ค่ะ ราคา 12000 บาท
521,"ขายยา soranib / sorafenib ( Nexavar )
จากอินเดีย 1 ขวดมี 120 เม็ด  ของแท้แน่นอน

ขวดละ 5,000 บาท มี 3 ขวดคะ
090 994 2305
แก้ไขข้อความเมื่อ 12 เมษายน 2562 เวลา 21:33 น."
522,ได้ยาไปหรีอยังครับมียาราคาถูก ของแท้อยู่จำนวน4 กล่องของเยอรมัน ซื้อจาก รพ จุฬาครับ  เผื่อเป็นประโยชน์นะครับ ลองคุยกันได้เรื่องราคา โทร 090-1988685 ยาหมดอายุ 10/2022
523,ยาแพงๆ บางครั้งมีช่องทางที่จะซื้อได้ถูก และดี แนะนำลองปรึกษาเภสัชกรของรพ.ที่จขกท ติดต่อรักษา จะได้ถูกระเบียบราชการ และถูกเงิน และได้ยาถูกต้อง เรื่องยาทางรักษามะเร็ง เป็นเรื่องละเอียดอ่อน เพราะเกี่ยวข้องกับค่ารักษา และระเบียบราชการ และนโยบายของแต่ละรพ.ที่แตกต่างกันออกไป
524,"70000-80000 บาทต่อกล่องนี่กินได้กี่วันต้องดูด้วยนะครับ บางครั้งเดือนนึงกิน 2 กล่องก็มี ยาบางตัวกินสัปดาห์ละกล่องก็มี

อย่างไรก็ตามหากไม่ใช่ยาต้นแบบแล้วราคาก็มักจะถูกกว่ามาก แต่ไม่ผ่านอ.ย.ไทยดังนั้นหากซื้อจากเมืองนอกอาจติดปัญหาตอนนำเข้ามา(ถ้าไม่ติดก็โชคดีไป)

และถ้ามันผิดกฏหมายแม้จะซื้อขายในไทย ก็ยากจะแน่ใจว่ายาถูกต้องหรือไม่ ของปลอมหรือไม่"
525,ดิฉันมีอยู่94 เม็ดสั่งจ่ายโดยรพฺปิยมหาราชการุณ ซื้อมาราคา 1500 บาท ขายเพียง 500 บาท หมดอายุเดือนเมย. 2017 สนใจโทร 0909912198
526,ฉันมียา nexavar200mg 60เม็ด ใหม่แกะกล่อง ขายให้ถูกๆๆ 55000 ต่อลองได้ค่ะ สนใจติดต่อ 0972047241 น้าเพชรค่ะ (ยาหมดอายุ เดือน8/2018) ขายด่วน
527,"มีของคุณแม่ อยากส่งต่อ 120 เม็ด ของบริษัท Natco ซึ่งได้ lisence จากผู้ผลิต nexavar ค่ะ
ตัวยาเหมือนกัน หลังไมค์มาค่ะ"
528,"มี Naxavar 200 mg. ของคุณพ่อ ซื้อจากสถานบันโรคไตภูมิราชนครินทร์  มีเอกสารการซื้อครบ มีอยู่ 22 เม็ด หมดอายุ 02/2019 ขาย 15,000บาทค่ะ
สนใจติดต่อ line ID : kalamay2
เบอร์ติดต่อ 0877565502
แก้ไขข้อความเมื่อ 3 ตุลาคม 2561 เวลา 09:26 น."
529,"ขายยา Nexava ของGermany แท้ มีใบเสร็จยืนยันจากโรงพยาบาล  

มี 2กล่องครึ่ง ขายกล่องละ 70,000 บาท ซื้อมาจากโรงพยาบาลกล่องละ 98,000บาท

สนใจต่อรองราคาได้คะ ยาหมดอายุปี 2019

ติดต่อ เอ๋ 092-2624994"
530,"มีของคุณแม่ อยากส่งต่อ 120 เม็ด ของบริษัท Natco ซึ่งได้ lisence จากผู้ผลิต nexavar ค่ะ
ตัวยาเหมือนกัน หลังไมค์มาค่ะ"
531,"https://www.facebook.com/yamareng/
ลองดูที่นี่ค่ะ
แก้ไขข้อความเมื่อ 1 กุมภาพันธ์ 2562 เวลา 22:25 น."
532,"ส่งต่อ ยา nexavar ของคุณพ่อค่ะ ตอนนี้ไม่ได้มานแล้วท่านรักษาที่โรงพยาบาลจุฬาค่ะ  เพราะไม่ตอบสนอง ไปรักษาด้วยวิธีอื่น  กล่องละ 56 เม็ด ราคา 30000 ค่ะ  หมดอายุ เดือน 8/2018. มีอยู่ 3 กล่อง. หมดอายุ 3/2019 มีอยู่ 2 กล่อง  สนใจติดต่อ 0870471511 ได้นะคะ ของแท้แน่นอนค่ะ
แก้ไขข้อความเมื่อ 27 มีนาคม 2561 เวลา 10:44 น."
533,"ขายยา Nexava ของGermany แท้ มีใบเสร็จยืนยันจากโรงพยาบาล  

มี 2 กล่อง ขายกล่องละ 70,000 บาท ซื้อมาจากโรงพยาบาลกล่องละ 98,000บาท

สนใจต่อรองราคาได้คะ ยาหมดอายุปี 2019

ติดต่อ เอ๋ 092-2624994"
534,"Sorafenib 200 mg ขวดละ 120 เม็ด บ.Natco ราคาถูกค่ะ
แก้ไขข้อความเมื่อ 24 มีนาคม 2562 เวลา 17:23 น."
535,"มียา Nexavar 200mg ของ BAYER จำนวน 1 กล่องเต็มกับอีก 32 เม็ด ขายต่อ 45000 บาทครับ ยาหมดอายุ 5/2021
สนใจติดต่อ 081-6133570"
536,"มียา nexavar 200 mg ใครต้องการ ติดต่อ id line 0826541692
แก้ไขข้อความเมื่อ 25 มีนาคม 2562 เวลา 10:13 น."
537,"ขายยา Sorafenib ของบริษัท Natco 200 mg 120 เม็ด มี 2 กล่อง พร้อมส่ง ราคา 11,000 บาท / กล่อง  ID line Preeyaluk4422"
538,"ขายยา soranib / sorafenib ( Nexavar )
จากอินเดีย 1 ขวดมี 120 เม็ด  ของแท้แน่นอน

ขวดละ 5,000 บาท มี 3 ขวดคะ
090 994 2305"
539,"มีของคุณพ่อ Nexavar แท้ (ซื้อผ่าน รพ.ลำปาง) เหลืออยู่ 22 เม็ดครับ ส่งต่อไม่แพง หลังไมค์มาครับ
line: virusbz"
540,"ส่งต่อ nexavar ขนาด200 mg ของตัวเอง
เนื่องจากเปลี่ยนการรักษา
ของแท้ ราคาคุยกันได้
จำนวน60 เม็ด หมดอายุ10/2022
สนใจคุยกันได้
line id: rvee
แก้ไขข้อความเมื่อ 6 กันยายน 2563 เวลา 14:08 น."
541,"ยาที่ญี่ปุ่นนี้เวลาไปเลือกซื้อนี้งงมากๆ

ชื่อเดียวกัน แต่พ่วงท้ายเต็มไปหมดเช่น

EX
Plus
S

มีทริก ง่ายๆ ไหมครับว่าตัวพ่วงท้ายมีความหมายอย่างไร

เช่น Plus จะแรงกว่า กินน้อย โดสกว่า
หรือพวก EX แผ่นใหญ่กว่า


อย่าง Benza block L plus กล่องเทา กะ กล่องฟ้า มันคุณสมบัติต่างกันอย่างไร

เคยไปซื้อแผ่นแปะ แก้ปวดกล้ามเนื้อ ยี่ห้อเดียวกันมีหลายรุ่นมากกกก จนไม่รู้ว่ามันต่างกันอย่างไรบ้าง

ขอบคุณครับ"
542,"ร้านขายยาที่ญี่ปุ่นมีน้ำเกลือสำหรับล้างแผลหรือล้างจมูกขายไหมคะ เคยเข้าไปขอซื้อน้ำเกลือเพื่อไปล้างจมูก เปิดรูปขวดน้ำเกลือให้ดู
รูปประมาณนี้เภสัชกรก็ทำหน้างงๆ แล้วบอกว่าต้องไปโรงพยาบาล ร้านยาไม่มีขาย
แก้ไขข้อความเมื่อ 4 กรกฎาคม 2561 เวลา 15:09 น."
543,อยู่ญี่ปุ่นผมใช้กาล้างจมูก (ยี่ห้อที่ผมใช้ทำเป็นรูปกาน้ำเลยนะครับ เรียกว่า neti pot) ผงเเก้เจ็บคอสีชมพู เเล้วก็เเผ่นเเปะเเผลในปากครับ
544,"รีวิวละเอียด มีประโยชน์มาก

ให้เป็นกระทู้โปรดครับ"
545,ผมหายาแก้ท้องเสีย เจอตามรูปข้อ7 แต่ไม่กล้าซื้อ เพราะเห็นเป็นรูปผู้หญิงนึกว่าเป็นยาแก้ปวดท้องเมนส์
546,"อย่าลืมดูส่วนประกอบของยานะครับ ยกตัวอย่างเช่นในสูตรยาของ ""Benza Block L plus (ベンザブロックLプラス) กล่องสีเทา"" มีตัวยาที่ชื่อ Ibuprofen อยู่ครับ ซึ่งต้องทานหลังอาหารทันที เนื่องจากตัวยามีการกัดกระเพาะ และตัวยายังมีผลข้างเคียงทำให้เกิดเลือดออกได้ง่ายขึ้น ถ้าคนที่มีแผลในกระเพาะอาหารก็ควรหลีกเลี่ยง รวมทั้งคนที่แพ้กลุ่มยา NSAIDs ก็ห้ามใช้ยาตัวนี้ด้วยครับ

และนอกจากนี้ในสูตรยา ""Benza Block L plus (ベンザブロックLプラス) กล่องสีเทา"" ยังมีส่วนผสมของตัวยา d-Chlorpheniramine Maleate ซึ่งเป็นยาแก้แพ้ชนิดง่วงนอน ซึ่งหากรับประทานยานี้ก็ควรงด Alcohol ถ้าผู้รับประทานยานี้แล้วไปดื่ม Alcohol ก็อาจเกิดผลร้ายแรงได้เพราะ Alcohol จะไปเสริมฤทธิ์ของตัวยาในการกดระบบประสาทส่วนการ ให้กดมากขึ้นครับ

ซึ่งในสูตรยา ""Benza Block L plus (ベンザブロックLプラス) กล่องสีเทา"" ตามข้อมูลที่ได้มาจาก website ของบริษัทยาเอง ก็ประกอบไปด้วยยา 6 ตัว ซึ่งยาทั้ง 6 ตัวแม้จะปลอดภัย แต่ก็ยังสามารถก่อให้เกิดอาการข้างเคียงต่อผู้ใช้ได้ และบางครั้งก็จะเกิดอาการแพ้ยาต่อผู้ที่เคยมีประวัติแพ้ยานั้นๆได้ครับ

ข้อมูลอ้างอิง https://takeda-kenko.jp/products/kaze/benza_l_plus.html"
547,เห็น วิคส์ แล้วอยากไปเหมามาเลย คิดถึงรสชาติ.
548,กระทู้มีประโยชน์มากเลยครับ
549,ขอบคุณค่ะ
550,ขอบคุณน้าาา
551,จดๆๆ
552,เร ดหนข. มสตช[sjyoutube]c.f. [/yo. d utube] st.  e  o
553,มีประโยชน์มากครับ
554,"เราไอตั้งแต่ปีใหม่ ไอจนเจ็บท้องไปหมด  ไม่ได้หลับไม่ได้นอน  ไอเรื่อยๆมากินยาเม็ด ยาน้ำ ยาอม มันไม่หายอะ   เราก็คุยกับพี่คนนึงเค้าบอกเคย
ไอหนักกินยาไรไม่หาย คนแก่ๆเขาให้กินไอน้ำจากหม้อหุงข้าว ที่ไม่ใช่หม้ออุ่นทิพย์นะ หม้อที่มีฝาหม้อแล้วเวลาอุ่นข้าวเปิดหม้อมาจะมีไอน้ำเกาะอะ
ไม่เยอะหรอก เอาช้อนตักกิน บอกเลยเราไม่เชื่อจ้าาาาาาา  งงมันจะหายได้ไง  แต่ก็ลองกินเล่นๆดู เฮ้ยยมันดีขึ้น  อุ่นข้าวตอนไหนก็กินตอนนั้น
มันอเมซิ่งมาก  ตอนนี้หายไอแล้ว งงเลย  
พูดไปมันออกแนวหัวงมงายนะ แต่มันหายจริงๆอะ คุณลองดูสิไม่เสียหาย  เรากินอยู่สามสี่วันอะ ทึ่งมาก"
555,กินหลายชนิดไม่หาย แต่มาหายเพราะห้าตะขาบ หรือตะขาบห้าตัว
556,กลั้วคอด้วยน้ำเกลือค่ะ เอาเกลือป่นนิดนึงใส่น้ำ คนๆ กลั้วคอ
557,กลั้วคอด้วยนำ้เกลือ  อมยาตะขาบ  เราทำแบบนี้สามวันหายสนิท
558,"หาหมอเถอะค่ะ หรือไม่ก็ไปร้านขายยาที่มีเภสัชแล้วเล่าอาการให้เขาฟัง
ไอมากี่วันแล้ว ก่อนไอมีไข้ไหมเป็นหวัดไหม ไอแห้งๆหรือมีเสมหะ เสมหะสีอะไร ฯลฯ
เขาจะได้จัดยาให้ถูก"
559,ขอบคุณทุกความเห็นครับ ขอบคุณมาก
560,สาเหตุของอาการไอมาจากอะไรคะ ถ้าไม่รู้ก็รักษาไม่ถูกหรอกค่ะ พันทิปไม่ได้เรียนหมอ ตรวจร่างกายให้คุณไม่ได้ รู้แต่ชื่อยา จากคนโน้น คนนี้ ถ้าไม่ได้แก้ที่สาเหตุกินเป็นกำก็ไม่ช่วยค่ะ
561,"อันนี้ แค่สอบถามเบื้องต้นในการแก้ปัญหาเฉพาะหน้า เพราะสุดท้ายต้องไปหาหมออยู่ดี

ยังไง ก็ขอขอบคุณในความเห็นของท่านครับ"
562,"ปกติเป็นภูมิแพ้หรือกรดไหลย้อนหรือเปล่าคะ

ถ้าไอนานๆ ควรไปตรวจปอดและตรวจเลือดค่ะ ระวังเป็นวัณโรคนะคะ

ส่วนยาแก้ไอก็จิบชวนป๋วยปีไก่กอ หรือยาที่มีส่วนประกอบของมะขามป้อมก็ได้ค่ะ

ทานน้ำอุ่น นอนพักผ่อน ถ้าไม่มีโรคอะไร 7-10 วันน่าจะหายแล้ว

แต่ถ้าต้องทำงานที่ใช้เสียงทั้งวันคงเป็นเดือนค่ะ กว่าจะหาย

ฟิชเชอร์แมน เฟรนด์ ก็พอช่วยบรรเทาอาการได้เวลาต้องใช้เสียงมากๆ

หายไวๆนะคะ"
563,ขอบพระคุณครับ
564,"เคยไอหนักๆมากค่ะ เพราะไม่ยอมดูแลตัวเองตั้งแต่ยังมีอาการน้อย

ส่วนตัวทานน้ำอุ่น หลีกเลี่ยงของทอด ขนมขบเคี้ยว

แล้วก็ จิบ ยาแก้ไอ ของไอยรา ขวดแดงๆ จิบบ่อย ชุ่มคอดี"
565,ขอบพระคุณครับ
566,ลองดูยี่ห้อนี้ดูกันนะค่ะ ตราแป๊ะลี้
567,ลองดมไอน้ำอุ่นดูครับ ทำท่าจะดื่มน้ำอุ่นแต่เป่าให้เกิดไอแล้วสูดทางจหมูกหรือปาก ของผมมันช่วยได้เยอะเลย
568,แก้ไขข้อความเมื่อ 22 กรกฎาคม 2566 เวลา 03:35 น.
569,เคยลองห้าตะขาบ หายดีจัง
570,ไอมาก ไม่มีไข้ ไม่เจ็บคอ ไม่มีน้ำมูก ใครรู้บ้างเป็นอะไร หาหมอกินยา10วันยังไม่หายเลยค่ะ
571,"ห้าตะขาบ หรือตะขาบห้าตัว ครับ

อีกวิธีหนึ่งนะครับ ฉีดยาครับ ที่สํานักงานมีน้องผู้หญิงคนหนึ่งต้องไปฉีดยาครับ และหายครับ"
572,ถ้าไอมีเสมหะ แล้วกินยาแก้ไอ กับยาอมแก้ไอไม่ค่อยได้ผล แนะนำลองกินน้ำอุ่น กับฟ้าทะลายโจร ดูครับ แก้ไอได้อย่างดีเลย ยิ่งเคี้ยวใบแล้วกลืนลงคอจะยิ่งได้ผล แต่ขมหน่อยนะครับ
573,ลองจิบไอยราดูไหมค่ะ เคยไอเรื้อรังมานาน ที่บ้านแนะนำไอยราจิบทานประมาณไม่ถึง 3 วันอาการไอดีขึ้นเลยค่ะ แถมทานง่ายดีรสชาติไม่ได้แย่แบบสมุนไพรทานง่ายลอหาซื้อดูนะคะ
574,"ขอบคุณมากค่ะ เราเองก็เหมือนจขกท. ทุกวันนี้พ่นยา แต่ไม่หาย
อาการทรงๆ จมูกตันตลอดเลย ไปรพ.มาหลายที่ก็ไม่หาย
นี่เป็นอีกทางเลือกนึงที่น่าสนใจมากค่ะ เดี๋ยวจะลองไปรักษาดู

ขอบคุณสำหรับข้อมูลนะคะ"
575,มีคนแนะนำมาเหมือนกันครับ น่าสนใจอยู่ๆๆ
576,ลองทานกระเทียมแบบอัดเม็ดดูนะคะ ทางเลือกอีกทางนึง
577,"การรักษาโรคด้วยการทานยาจีนต้องใช้เวลานาน ยิ่งถ้าเป็นโรคเรื้อรังยิ่งใช้เวลานานมากขึ้น ดีใจกับจขกทด้วยนะคะที่เห็นผลการรักษาค่อนข้างชัดเจนแล้ว
จริงๆในปัจจุบันมีการค้นคว้าวิจัยเกี่ยวกับศาสตร์นี้มากมาย พิสูจน์ได้ในทางวิทยาศาสตร์
ทั้งนี้ทั้งนั้นการรักษาต้องอยู่ในการดูแลของแพทย์นะคะ
แก้ไขข้อความเมื่อ 19 สิงหาคม 2558 เวลา 23:24 น."
578,แก้ไขข้อความเมื่อ 7 กุมภาพันธ์ 2565 เวลา 21:17 น.
579,ขอบคุณ จขกท.มากคะสำหรับข้อมูล
580,ขอบคุณความรู้ดีๆครับ
581,ขอบคุณค่ะ
582,ขอบคุณค่ะ
583,"เวลาเลิกยานอนหลับต้องเลิกทีละนิดค่ะ ถ้าเลิกแบบหักดิบเลยจะทำให้สมองขาดยาแล้วส่งผลให้นอนไม่หลับ จนทำให้ต้องกลับมาใช้ยาอีก จะเลิกกี่ครั้งก็ต้องกลับมาใช้ใหม่ เพราะคนส่วนใหญ่จะทนต่อการนอนไม่หลับติดต่อกันหลายวันไม่ได้ ถ้าไม่อยากให้เกิดวงจรอย่างนึ้ต่อไปเรื่อยๆต้องเลิกยาทีละนิดเท่านั้นค่ะ

ถ้าต้องการปรึกษาการเลิกยานอนหลับ แนะนำคุณหมอ สุชาติ ตรีทิพย์ธิคุณ โรงพยาบาลรามคำแหง เราได้ชื่
อคุณหมอจากเว็บพันทิปนี่แหละค่ะ และได้แนะนำท่านนึงไปหาคุณหมอ ท่านที่ไปหาบอกว่าคุณหมอใส่ใจดีมาก ให้สูตรถอยยามาว่าควรจะลดปริมาณลงเท่าไหร่และต้องกินกี่วันถึงค่อยลดปริมาณลงไปอีก ก็ต้องถอยยาลงไปตามลำดับเรื่อยๆจน สำหรับท่านนี้กินมา 6 เดือน สูตรลดยาก็คือกินลดลงเรื่อยๆเป็นเวลา 6 เดือนค่ะ


ถ้าไม่สามารถไปหาคุณหมอสุชาติได้ ให้ลองศึกษากระทู้ข้างล่างนี้ค่ะ เป็นคุณหมอเวรที่ใช้ยานอนหลับมาหลายปีแล้วก็เลิกยาด้วยตัวเอง โดยเลิกทีละนิดเช่นกัน สูตรการลดยาก็คล้ายๆกับของคุณหมอสุชาติค่ะ

เจ้าของกระทู้อธิบายอย่างละเอียดที่ความเห็นที่ 57,58,61 และ 68 ค่ะ
http://topicstock.pantip.com/lumpini/topicstock/2010/06/L9416566/L9416566.html

สำหรับเราเคยใช้ยา Lorazepam 2,5 mg มา 6-7 ปี ตอนเลิกได้เลิกแบบหักดิบ ทำให้นอนไม่หลับเลยซักวินาทีประมาณ 3 เดือน จากนันก็ได้นอนหลับบ้างบางวัน แต่ส่วนใหญ่จะนอนไม่หลับ การนอนก็ดีขึ้นช้ามากๆในแต่ละเดือน และหลังๆแม้จะนอนได้ดีขึ้นบ้างแล้วแต่มันก็จะมีวันที่นอนไม่หลับติดๆกันหลายวันอยู่ดี

รวมแล้วมีปัญหาการนอนรุนแรงเรื้อรังประมาณปีครึ่ง ต่อจากนั้นการนอนถึงจะเริ่มดีขึ้นเรื่อยๆ จนถึงตอนนี้เพิ่งจะดีจริงๆมาได้ 6 เดือนเอง และล่าสุดเพิ่งจะนอนได้ 7-8 ชั่วโมงต่อคืนมาได้เดือนเดียวนึ้เอง--นับว่าเป็นครั้งแรกที่นอนหลับได้ทุกวันทั้งเดือนอย่างนี้ ก็หวังว่าจะนอนได้อย่างนี้ต่อไปเรื่อยๆค่ะ การเลิกแบบหักดิบมันเลิกได้จริงค่ะ แต่มันเสียสุขภาพและเสียคุณภาพชีวิตอย่างมาก เวลาใครมาปรึกษาในเพจก็จะแนะนำให้เลิกทีละนิดอย่างเดียวเท่านั้น

เพิ่มเติม อันนี้เป็นเว็บภาษาอังกฤษที่มีคนในเพจแนะนำมา เป็นฟอรั่มที่คนใช้ยาในกลุ่ม benzo มาแชร์ประสบการณ์การเลิกยา อ่านแล้วจะทำให้เข้าใจอาการคนเลิกยากลุ่มนี้ได้ดีขึ้น เพื่อลดความกังวลว่าเมื่อไหร่จะกลับมานอนได้ ส่วนใหญ่อาการถอนยาก็จะคล้ายๆกันแหละ เสียดายเพิ่งรู้จักฟอรั่มนี้จากสมาชิกตอนที่เรากลับมานอนได้เองแล้ว ก็เผื่อใครสนใจค่ะ

http://www.benzobuddies.org/forum/index.php?board=89.0"
584,"เดาว่าตอนคุณออกกำลังกาย ไม่อ้าปากเลย
ปิดสนิท"
585,ยาพ่นจมูกเลยนะคะ เป็นธรรมชาติจะดีกว่าไหม ขึ้นชื่อว่าสเตียรอยด์ ใช้ระยะยาวหรือใช้ในปริมาณที่เกินกำหนดไม่ดีแน่นอนค่ะ ถ้าจะใช้เพื่อป้องกันไวรัสพวกไข้หวัดใหญ่ เชื้อโรคทางอากาศ สารก่อภูมิแพ้ ไรฝุ่น ไปจนถึงระดับไวรัสโควิด ต้องใช้แบบที่เป็นธรรมชาติ มีผลรับรองยืนยันจะปลอดภัยกว่า ที่บ้านเราใช้ของ doctor’s recipe เป็นสเปรย์ผงเซลลูโลส ที่พอฉีดเข้าไปจะเปลี่ยนเป็นเนื้อเจล ช่วยเคลือบเป็นเกราะป้องกันในโพรงจมูก ลดปริมาณและลดความรุนแรงของการได้รับเชื้อจากทางอากาศได้ค่ะ
586,ไม่แน่ใจเหมือนกัน แต่ได้ยินคำว่าสเตียรอยด์แล้วก็ไม่น่าใช้นะคะ ดูอันตราย ดูน่าจะเสพติดยังไงก็ไม่รู้ รอฟังผู้รู้มาตอบด้วยคนค่ะ
587,"เข้าใจว่าที่ถามมาเพราะว่าน่าจะเป็นภูมิแพ้ใช่ไหมครับ และน่าจะเป็นมากพอสมควร ถึงต้องใช้ยาพ่นจมูก จะสรุปให้คร่าวๆ ตามนี้นะครับ

ยาพ่นจมูกที่ใช้รักษาภูมิแพ้มีสองแบบ ได้แก่
1. ยาพ่นแบบที่เป็นสเตรอยด์ จะลดอาการภูมิแพ้ได้ดี เพราะยับยั้งการอักเสบของเยื่อบุโพรงจมูกโดยตรง สามารถใช้พ่นได้ทุกวัน บางคนที่เป็นมากอาจจะพ่นเช้าเย็นได้ ตัวอย่างเช่นยา  avamyst, rhinocort, nasonex (ตัวยาต่างกัน แต่ประสิทธิภาพในการรักษาไม่ต่างกัน) อาการข้างเคียงมีน้อย อาจจะมีเลือดกำเดาออกได้บ้างในคนที่ใช้ติดต่อกันนานๆ 6 สัปดาห์ขึ้นไป

2. ยาพ่น (หรือยาหยด) แบบที่ไม่ใช่สเตรอยด์ จะมีตัวยาที่เป็นตัวยาหดหลอดเลือด เช่น oxymetazoline หรือ xylometazoline จะช่วยทำให้เยื่อบุโพรงจมูกยุบลงได้ชั่วคราว ข้อดีคือเร็วทันใจ แต่ข้อเสียคือถ้าใช้ยาพ่นชนิดนี้ติดต่อกันเกิน 5-7 วัน มักจะทำให้คัดจมูกหนักกว่าเดิม เรียก rebound congestion ผลิตภัณฑ์ที่มีจำหน่ายก็ได้แก่พวก iliadin

สรุปให้ว่าในสองตัวนี้ ยาพ่นสเตรอยด์ดีกว่า เพราะมันลดอาการอักเสบโดยตรง แล้วใช้พ่นได้เรื่อยๆ ด้วย แต่ถ้าเป็นภูมิแพ้ไม่บ่อย เป็นแค่สองสามวัน
การใช้ยาพ่นที่เป็นยาลดอาการคัดจมูกก็จะโอเค ใช้ได้

นอกจากนี้การรักษาภูมิแพ้ยังใช้ยาอื่นๆ ได้อีก เช่น
1. ยาแก้แพ้แบบรับประทาน (second-generation antihistamine ขึ้นไป) เช่น cetirizine, loratadine, fexofenadine, levocetirizine, desloratadine หรืออื่นๆ

2. ยาลดอาการคัดจมูกชนิดรับประทาน (ตัวยาออกฤทธิ์หดหลอดเลือด) เช่น phenylephrine, pseudoephedrine
ในสองตัวนี้ pseudoephedrine ประสิทธิภาพดีกว่ามาก แต่ยาซื้อในร้านยาไม่ได้ เพราะเคยมีคนกว้านซื้อไปสกัดแล้วใช้กรรมวิธีทางเคมีเปลี่ยนให้เป็น methamphetamine หรือยาไอซ์ จึงกลายเป็นวัตถุออกฤทธิ์ต่อจิตประสาทประเภทที่ 2 ถ้าอยากใช้ต้องไปเอาที่โรงพยาบาล

3. น้ำเกลือล้างจมูก ช่วยล้างเอาอนุภาคที่อาจจะเป็นต้นเหตุของอาการภูมิแพ้ออกไปจากโพรงจมูก แนะนำให้ใช้ล้างจมูกแล้วตามด้วยการพ่นยาสเตรอยด์"
